SIRET,DATE_ANALYSE,NOMBRE_CONTRATS_ACTIFS,NB_HOMMES,NB_FEMMES,NB_CADRES,NB_NON_CADRES,NB_CDI,NB_CDD,NB_ALTERNANTS,NB_STAGIAIRES,NB_TEMPS_PLEIN,NB_TEMPS_PARTIEL,NB_AFFILIES_SANTE,NB_AFFILIES_PREVOYANCE,NOM_MUTUELLE,NOM_PREVOYANCE,DEMISSIONS,FINS_CDD,LICENCIEMENTS,MASSE_SALARIALE_BRUTE_KE,MS_CADRE_KE,MS_NON_CADRE_KE,PART_MS_CADRE_POURCENT,PART_MS_NON_CADRE_POURCENT,SALAIRE_MOYEN_TOTAL,TOTAL_JOURS_ABSENCES,J_MALADIE,J_AT,J_CONGES,NB_ARRETS_TOTAL,NB_SINI_AT,NB_ABS_LONGUE_DUREE,TAUX_ABSENTEISME_POURCENT,ANCIENNETE_MOYENNE_CDI_ANNEES,ANCIENNETE_MOY_DEPART_ANNEES,TOTAL_SANTE_EUROS,TOTAL_PREVOYANCE_EUROS,TOTAL_RETRAITE_EUROS,TAUX_FEMINISATION_POURCENT,TAUX_CADRES_POURCENT,TAUX_NON_CADRES_POURCENT,TAUX_TEMPS_PARTIEL_POURCENT,TAUX_FEMINISATION_MANAGEMENT_POURCENT,MS_CHARGEE_KE,PART_VARIABLE_POURCENT,TAUX_AFFILIES_SANTE_POURCENT,TAUX_AFFILIES_PREV_POURCENT,TAUX_MALADIE_POURCENT,TAUX_AT_POURCENT,TAUX_FREQUENCE_AT,TAUX_GRAVITE_AT,DUREE_MOY_ARRET_JOURS,RECRUTEMENTS_12_MOIS,TAUX_TURNOVER_POURCENT,EFFECTIF_MOYEN,ANCIENNETE_MEDIANE_CDI_ANNEES,SALAIRE_MOYEN_HOMME,SALAIRE_MOYEN_FEMME,ECART_SALARIAL_HF_POURCENT,SALAIRE_MOYEN_CADRE,SALAIRE_MOYEN_NON_CADRE,SALAIRE_MEDIAN_CADRE,SALAIRE_MEDIAN_NON_CADRE,SALAIRE_MEDIAN_HOMME,SALAIRE_MEDIAN_FEMME,SALAIRE_MEDIAN_TOTAL,NB_36_45,NB_MOINS_26,NB_26_35,NB_46_55,NB_PLUS_55,MS_CADRE_N_KE,MS_NON_CADRE_N_KE,MS_CADRE_N_1_KE,MS_NON_CADRE_N_1_KE,MS_CADRE_N_2_KE,MS_NON_CADRE_N_2_KE,EVOL_EFFECTIF_M_1_ABS,EVOL_RECRUTEMENTS_M_1_ABS,EVOL_MSB_M_1_POURCENT,EVOL_SALAIRE_MOYEN_M_1_POURCENT,EVOL_ABSENTEISME_M_1_PTS,EVOL_TURNOVER_M_1_PTS,EVOL_EFFECTIF_N_1_ABS,EVOL_RECRUTEMENTS_N_1_ABS,EVOL_MSB_N_1_POURCENT,EVOL_SALAIRE_MOYEN_N_1_POURCENT,EVOL_ABSENTEISME_N_1_PTS,EVOL_TURNOVER_N_1_PTS
32232518400065,2025-05-31,61,40,21,4,57,58,3,0,0,56,5,0,0,,,0,0,0,125,17,109,13.2,86.8,2054,50.71428571428571,44.285714285714285,0,0,3,0,2,3.84,15.9,0.0,0,0,13202,34.4,6.6,93.4,8.2,25.0,125,568.2,0.0,0.0,3.35,0.0,0.0,0.0,16.9,6,7.4,60.5,11.0,2169,1833,15.5,4126,1908,3517,1920,2029,1849,1920,8,3,6,19,26,149,1109,0,0,0,0,0.0,0.0,0.0,0.0,0.4,0.0,,,0.0,0.0,,
32232518400057,2025-06-30,13,6,7,0,13,13,0,0,0,11,2,0,0,,,0,0,0,23,0,23,0.0,100.0,1735,106.42857142857143,63.57142857142858,0,0,5,0,1,37.78,23.1,0.0,0,0,1274,53.8,0.0,100.0,15.4,0.0,23,439.3,0.0,0.0,22.57,0.0,0.0,0.0,21.3,0,0.0,12.0,24.4,1766,1716,2.8,0,1735,0,1825,1916,1825,1825,1,0,0,1,10,0,217,0,0,0,0,0.0,0.0,4.5,1.1,0.2,0.0,,,0.0,0.0,,
32232518400065,2025-06-30,61,40,21,4,57,58,3,0,0,56,5,0,0,,,0,0,0,126,17,110,13.1,86.9,2073,50.00000000000001,43.57142857142858,0,0,4,0,2,3.78,16.0,0.0,0,0,13681,34.4,6.6,93.4,8.2,25.0,126,572.6,0.0,0.0,3.3,0.0,0.0,0.0,12.5,6,7.4,60.5,11.1,2187,1856,15.1,4126,1929,3517,1955,2066,1884,1955,8,3,6,19,26,149,1109,0,0,0,0,0.0,0.0,0.8,0.9,-0.1,0.0,,,0.0,0.0,,
32232518400057,2025-07-31,13,6,7,0,13,13,0,0,0,11,2,0,0,,,0,0,0,23,0,23,0.0,100.0,1735,89.99999999999999,66.42857142857143,0,0,5,0,2,31.95,23.1,0.0,0,0,1509,53.8,0.0,100.0,15.4,0.0,23,461.2,0.0,0.0,23.58,0.0,0.0,0.0,18.0,0,0.0,12.0,24.5,1766,1716,2.8,0,1735,0,1825,1916,1825,1825,1,0,0,1,10,0,217,0,0,0,0,0.0,0.0,0.0,0.0,-5.8,0.0,,,0.0,0.0,,
32232518400065,2025-07-31,61,40,21,4,57,58,3,0,0,56,5,0,0,,,0,0,0,127,17,110,13.0,87.0,2081,47.14285714285714,44.285714285714285,0,0,3,0,2,3.57,16.1,0.0,0,0,13831,34.4,6.6,93.4,8.2,25.0,127,573.9,0.0,0.0,3.35,0.0,0.0,0.0,15.7,6,7.4,60.5,11.2,2199,1856,15.6,4126,1937,3517,1955,2066,1884,1955,8,3,6,19,26,149,1109,0,0,0,0,0.0,0.0,0.8,0.4,-0.2,0.0,,,0.0,0.0,,
32232518400057,2025-08-31,13,6,7,0,13,13,0,0,0,11,2,0,0,,,0,0,0,23,0,23,0.0,100.0,1735,91.42857142857143,69.28571428571428,0,0,5,0,4,32.45,23.2,0.0,0,0,1527,53.8,0.0,100.0,15.4,0.0,23,463.3,0.0,0.0,24.59,0.0,0.0,0.0,18.3,0,0.0,12.0,24.6,1766,1716,2.8,0,1735,0,1825,1916,1825,1825,1,0,0,1,10,0,217,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,,,0.0,0.0,,
32232518400065,2025-08-31,61,40,21,4,57,58,3,0,0,56,5,0,0,,,0,0,0,127,17,110,13.0,87.0,2081,55.71428571428571,50.71428571428571,0,0,5,0,2,4.21,16.2,0.0,0,0,13662,34.4,6.6,93.4,8.2,25.0,127,569.6,0.0,0.0,3.84,0.0,0.0,0.0,11.1,6,7.4,60.5,11.3,2199,1856,15.6,4126,1937,3517,1955,2066,1884,1955,8,3,6,19,26,149,1109,0,0,0,0,0.0,0.0,0.0,0.0,0.6,0.0,,,0.0,0.0,,
32232518400057,2025-09-30,12,6,6,0,12,12,0,0,0,10,2,0,0,,,0,0,0,21,0,21,0.0,100.0,1720,112.14285714285715,90.71428571428572,0,0,7,0,4,43.13,22.9,28.7,0,0,2073,50.0,0.0,100.0,16.7,0.0,21,463.1,0.0,0.0,34.88,0.0,0.0,0.0,16.0,0,0.0,12.0,24.7,1728,1716,0.7,0,1720,0,1825,1877,1825,1825,1,0,0,1,10,0,217,0,0,0,0,-1.0,0.0,-8.7,-0.9,10.7,0.0,,,0.0,0.0,,
32232518400065,2025-09-30,60,39,21,3,57,57,3,0,0,55,5,0,0,,,0,0,0,124,13,110,10.6,89.4,2060,61.42857142857143,43.57142857142858,0,0,4,0,3,4.72,16.4,11.0,0,0,16923,35.0,5.0,95.0,8.3,33.3,124,566.9,0.0,0.0,3.35,0.0,0.0,0.0,15.4,3,5.7,61.5,11.7,2199,1781,19.0,4387,1937,3693,1955,2066,1854,1955,8,3,5,19,26,149,1109,0,0,0,0,-1.0,-3.0,-2.4,-1.0,0.5,-1.7,,,0.0,0.0,,
32232518400057,2025-10-31,12,5,7,0,12,12,0,0,0,10,2,0,0,,,0,0,0,21,0,21,0.0,100.0,1720,117.85714285714285,88.57142857142857,0,0,6,0,6,45.32,22.9,0.0,0,0,1404,58.3,0.0,100.0,16.7,0.0,21,456.2,0.0,0.0,34.06,0.0,0.0,0.0,19.6,0,0.0,12.0,24.8,1728,1716,0.7,0,1720,0,1825,1877,1825,1825,1,0,0,1,10,0,217,0,0,0,0,0.0,0.0,0.0,0.0,2.2,0.0,,,0.0,0.0,,
32232518400065,2025-10-31,60,40,20,3,57,57,3,0,0,55,5,0,0,,,0,0,0,124,13,110,10.6,89.4,2060,68.57142857142857,46.42857142857143,0,0,4,0,3,5.27,16.4,0.0,0,0,12931,33.3,5.0,95.0,8.3,33.3,124,565.7,0.0,0.0,3.57,0.0,0.0,0.0,17.1,3,5.7,61.5,11.8,2199,1781,19.0,4387,1937,3693,1955,2066,1854,1955,8,2,5,20,26,149,1109,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,,,0.0,0.0,,
32232518400057,2025-11-30,12,5,7,0,12,12,0,0,0,10,2,0,0,,,0,0,0,21,0,21,0.0,100.0,1720,142.8571428571429,100.0,0,0,8,0,7,54.94,23.0,0.0,0,0,1153,58.3,0.0,100.0,16.7,0.0,21,417.1,0.0,0.0,38.46,0.0,0.0,0.0,17.9,0,0.0,12.0,24.9,864,980,-13.4,0,938,0,855,399,1360,855,1,0,0,1,10,0,217,0,0,0,0,0.0,0.0,0.0,0.0,9.6,0.0,,,0.0,0.0,,
32232518400065,2025-11-30,60,40,20,2,58,57,3,0,0,55,5,0,0,,,0,0,0,124,10,114,8.1,91.9,2060,110.71428571428572,67.85714285714286,0,0,6,0,5,8.52,16.5,0.0,0,0,12932,33.3,3.3,96.7,8.3,50.0,124,563.9,0.0,0.0,5.22,0.0,0.0,0.0,18.5,3,5.7,61.5,11.8,1142,891,22.0,5019,987,5019,904,1153,452,931,7,2,5,21,26,149,1109,0,0,0,0,0.0,0.0,0.0,0.0,3.2,0.0,,,0.0,0.0,,
32232518400057,2025-12-31,12,5,7,0,12,12,0,0,0,10,2,0,0,,,0,0,0,21,0,21,0.0,100.0,1720,102.85714285714285,75.71428571428571,0,0,7,0,4,39.55,23.1,0.0,0,0,2195,58.3,0.0,100.0,16.7,0.0,21,524.4,0.0,0.0,29.12,0.0,0.0,0.0,14.7,0,0.0,12.0,24.9,1728,1716,0.7,0,1720,0,1825,1877,1825,1825,0,0,0,2,10,0,217,0,0,0,0,0.0,0.0,0.0,0.0,-15.4,0.0,,,0.0,0.0,,
32232518400065,2025-12-31,60,40,20,2,58,57,3,0,0,55,5,0,0,,,0,0,0,124,10,114,8.1,91.9,2060,85.0,66.42857142857143,0,0,4,0,5,6.54,16.6,38.8,0,0,20214,33.3,3.3,96.7,8.3,50.0,124,657.0,0.0,0.0,5.11,0.0,0.0,0.0,21.2,1,4.8,62.0,11.1,2199,1781,19.0,5019,1958,5019,1955,2066,1854,1955,7,2,5,21,25,149,1109,0,0,0,0,0.0,-2.0,0.0,0.0,-2.0,-0.9,,,0.0,0.0,,
32232518400057,2026-01-31,12,5,7,0,12,12,0,0,0,10,2,0,0,,,0,0,0,21,0,21,0.0,100.0,1721,66.42857142857143,44.285714285714285,0,0,3,0,3,25.55,23.2,0.0,0,0,1481,58.3,0.0,100.0,16.7,0.0,21,503.1,0.0,0.0,17.03,0.0,0.0,0.0,22.1,0,0.0,12.0,25.0,1728,1718,0.6,0,1721,0,1825,1877,1825,1825,0,0,0,2,10,0,41,0,217,0,0,0.0,0.0,0.0,0.1,-14.0,0.0,,,0.0,0.0,,
32232518400065,2026-01-31,59,39,20,2,57,56,3,0,0,54,5,0,0,,,0,0,0,122,10,112,8.2,91.8,2065,30.0,25.714285714285715,0,0,4,0,1,2.35,16.3,0.0,0,0,12228,33.9,3.4,96.6,8.5,50.0,122,582.5,0.0,0.0,2.01,0.0,0.0,0.0,7.5,1,4.8,62.0,11.1,2208,1786,19.1,5019,1962,5019,1955,2066,1854,1955,7,2,5,20,26,20,224,149,1109,0,0,-1.0,0.0,-1.6,0.2,-4.2,0.0,,,0.0,0.0,,
32232518400057,2026-02-28,12,5,7,0,12,12,0,0,0,10,2,0,0,,,0,0,0,21,0,21,0.0,100.0,1721,75.71428571428572,55.714285714285715,0,0,5,0,3,29.12,23.3,0.0,0,0,1382,58.3,0.0,100.0,16.7,0.0,21,487.8,0.0,0.0,21.43,0.0,0.0,0.0,15.1,0,0.0,12.0,25.1,1728,1718,0.6,0,1721,0,1825,1877,1825,1825,0,0,0,2,10,0,41,0,217,0,0,0.0,0.0,0.0,0.0,3.6,0.0,,,0.0,0.0,,
32232518400065,2026-02-28,59,39,20,2,57,56,3,0,0,54,5,0,0,,,0,0,0,122,10,112,8.2,91.8,2070,27.142857142857142,27.142857142857142,0,0,2,0,2,2.12,16.4,0.0,0,0,12819,33.9,3.4,96.6,8.5,50.0,122,588.7,0.0,0.0,2.12,0.0,0.0,0.0,13.6,1,4.8,62.0,11.2,2101,1799,14.4,2509,1966,1847,1955,2066,1854,1955,7,2,5,20,26,20,224,149,1109,0,0,0.0,0.0,0.0,0.2,-0.2,0.0,,,0.0,0.0,,
